person,probabilities
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,standing
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
Speaker,sitting
